X1,title,description,url,publishedAt,content,domain
6,76ers left 'finding ourselves' as road losses pile up,"A fourth straight road loss in Milwaukee has the 76ers reflecting on the future. ""I think good is going to come out of this,"" Al Horford said of their slump, with Joel Embiid adding that he needs to adjust his mental state ""and get back to the fun Joel.""",https://www.espn.com/nba/story/_/id/28651298/al-horford-another-road-loss-puts-lot-things-perspective-76ers,2020-02-07T06:47:21Z,"MILWAUKEE -- Road games continue to be the Mount Everest the 76ers cannot summit.
Days after Ben Simmons called the 76ers ""soft"" and Joel Embiid cited the team's spacing issues, Philadelphia suffered its fourth consecutive road loss Thursday night in Milwauk… [+2761 chars]",espn.com
7,76ers left 'finding ourselves' as road losses pile up,"A fourth straight loss has the 76ers reflecting on the future. ""I think good is going to come out of this,"" Al Horford said of their slump, with Joel Embiid adding that he needs to adjust his mental state ""and get back to the fun Joel.""",https://www.espn.com/nba/story/_/id/28651298/al-horford-another-loss-puts-lot-things-perspective-76ers,2020-02-07T06:41:40Z,"MILWAUKEE -- Road games continue to be the Mount Everest the Philadelphia 76ers cannot summit.
Days after Ben Simmons called the Sixers ""soft"" and Joel Embiid cited the team's spacing issues, Philadelphia suffered its fourth consecutive loss -- all on the ro… [+2702 chars]",espn.com
8,Free-agent PG Collison spotted at Lakers game,"Free-agent point guard Darren Collison settled into a second-row seat near Lakers owner Jeanie Buss during L.A.'s game Thursday night, hours after the trade deadline passed without the team making a move.",https://www.espn.com/nba/story/_/id/28651269/free-agent-darren-collison-lakers-game-la-lets-trade-deadline-pass,2020-02-07T06:36:02Z,"LOS ANGELES -- Hours after the Los Angeles Lakers saw the NBA trade deadline pass without making a deal, the franchise might have tipped its hat as to its next move.
Or, perhaps more appropriately, tipped its hood.
Free-agent point guard Darren Collison set… [+2055 chars]",espn.com
9,Free-agent PG Collison spotted at Lakers game,"Free-agent point guard Darren Collison settled into a second-row seat near Lakers owner Jeanie Buss during L.A.'s game Thursday night, hours after the trade deadline passed without the team making a move.",https://www.espn.com/nba/story/_/id/28651269/free-agent-darren-collison-lakers-game-la-quiet-trade-deadline,2020-02-07T06:29:43Z,"LOS ANGELES -- Hours after the Los Angeles Lakers saw the NBA trade deadline pass without making a deal, the franchise might have tipped its hat as to its next move.Or, perhaps more appropriately, tipped its hood.Free-agent point guard Darren Collison settled… [+1907 chars]",espn.com
10,The Lakers-Clippers rivalry spilled into the trade deadline,The race to acquire Marcus Morris Sr. was another major event in this growing crosstown stare-down.,https://www.espn.com/nba/story/_/id/28643818/the-lakers-clippers-rivalry-spilled-trade-deadline,2020-02-07T06:03:14Z,"It was the story of the power-shifting NBA summer. It was the story of the trade deadline. There's a good chance it will be the story of the Western Conference playoffs.
Los Angeles Lakers vs. LA Clippers.
In the hours leading up to Thursday's 3 p.m. ET dea… [+3878 chars]",espn.com
13,How the Kobe Bryant mural was painted in 24 hours,"Nearly a decade has passed since the government told Tenement residents to leave. Since then, the court and its viral murals have become the heartbeat of basketball in the Philippines.",https://www.espn.com/nba/story/_/id/28650483/from-eviction-notice-kobe-bryant-tribute-how-philippines-tenement-became-hallowed-ground,2020-02-07T03:41:29Z,"The morning began like any other at the Fort Bonifacio housing tenement in Taguig City, Philippines, just outside Manila. Caged roosters crowed on the rooftop. Seven floors below, bristles from an elderly resident's broom swept away the remnants of the city f… [+19194 chars]",espn.com
18,Pelicans' Ingram exits with right ankle sprain,Brandon Ingram hurt the ankle when he stepped on Bulls forward Chandler Hutchison's foot on a drive to the basket late in the second quarter. He stayed in the game before exiting for good in the third quarter.,https://www.espn.com/nba/story/_/id/28650211/pelicans-brandon-ingram-exits-right-ankle-sprain,2020-02-07T02:59:48Z,"CHICAGO -- New Orleans Pelicans All-Star forward Brandon Ingram left Thursday night's contest against the Chicago Bulls with a sprained right ankle.
Ingram injured the ankle when he stepped on Bulls forward Chandler Hutchison's foot on a drive to the basket … [+1145 chars]",espn.com
21,How the Lakers-Clippers rivalry spilled into the trade deadline,The race to acquire Marcus Morris Sr. was another major event in this growing crosstown stare down.,https://www.espn.com/nba/story/_/id/28643818/how-lakers-clippers-rivalry-spilled-trade-deadline,2020-02-07T02:28:58Z,"It was the story of the power-shifting NBA summer. It was the story of the trade deadline. There's a good chance it will be the story of the Western Conference playoffs.
Los Angeles Lakers vs. LA Clippers.
In the hours leading up to Thursday's 3 p.m. ET dea… [+3840 chars]",espn.com
25,"LeBron, Giannis make their draft picks for the 2020 All-Star Game",Check out which players captains LeBron James and Giannis Antetokounmpo will be suiting up with in Chicago for the 2020 All-Star Game.,https://www.espn.com/nba/story/_/id/28292088/nba-all-star-game-2020-draft-results-news-rosters-schedules-how-watch,2020-02-07T01:13:15Z,"NBA All-Star Weekend is Feb. 14-16 in Chicago, and this will be the third consecutive year in which captains will participate in a fantasy draft and select their own teams, compared to the traditional East vs. West format.
All-Star captains LeBron James and … [+7282 chars]",espn.com
27,LeBron picks AD first in draft; Giannis gets Embiid,"For the second year in a row, leading All-Star vote-getter LeBron James drafted Anthony Davis -- now his teammate on the Lakers -- first overall. Giannis Antetokounmpo took Philadelphia big man Joel Embiid with his No. 2 pick.",https://www.espn.com/nba/story/_/id/28649684/nba-all-star-draft-team-lebron-takes-ad-first-overall-giannis-selects-joel-embiid-no-2,2020-02-07T00:42:25Z,"Giannis Antetokounmpo and LeBron James divvied up the remaining 22 All-Stars taking part in next weekend's NBA All-Star Game on Thursday night.
The two leading vote-getters from the Eastern and Western Conferences went back-and-forth in selecting which playe… [+3504 chars]",espn.com
