Team,Players,Height,Weight,Age,Experience,SAL,
Atlanta Hawks,15,200.4,99.1,25.3,3.9,$5.7M,
Boston Celtics,15,197.1,100.9,25.1,2.7,$7.8M,
Brooklyn Nets,15,202,100.5,26.1,5,$8.1M,
Charlotte Hornets,13,199.2,97,24.6,2.9,$7.4M,
Chicago Bulls,15,201.9,100.3,24.7,3,$7.5M,
Cleveland Cavaliers,13,198.2,102.5,24.8,3.6,$9.8M,
Dallas Mavericks,15,200.9,100.3,27.3,4.7,$7.9M,
Denver Nuggets,14,201.1,102.3,26.1,4.2,$9.1M,
Detroit Pistons,14,198,94.9,25.7,4.1,$7.4M,
Golden State Warriors,13,197.8,97.5,25,3,$10.1M,
Houston Rockets,15,197.4,98.5,29.3,8,$8.6M,
Indiana Pacers,15,199.4,97,25.3,3.5,$7.5M,
Los Angeles Clippers,14,198.3,98.1,27.5,5.6,$9.4M,
Los Angeles Lakers,15,198.7,100.7,29.2,8.1,$7.6M,
Memphis Grizzlies,14,200.1,99.3,23.5,2.4,$6.9M,
Miami Heat,15,200.5,101.3,27.3,5.5,$8.6M,
Milwaukee Bucks,15,200.5,103.3,29.4,7.7,$8.2M,
Minnesota Timberwolves,14,199.8,98.9,23.6,2.9,$8.1M,
New Orleans Pelicans,15,198.7,100.1,25.3,3.9,$7.8M,
New York Knicks,15,198.7,98.7,24.7,3.7,$6.8M,
Oklahoma City Thunder,14,199.4,96.9,25.3,4.2,$9.4M,
Orlando Magic,15,200.4,98,26.1,4.6,$8.4M,
Philadelphia 76ers,15,200.2,100.9,26.1,4.3,$8.6M,
Phoenix Suns,14,199.6,96.5,24.1,2.6,$7.0M,
Portland Trail Blazers,14,201.6,101.9,25.7,5.1,$9.4M,
Sacramento Kings,14,200.6,98.9,25.7,3.8,$8.0M,
San Antonio Spurs,14,199.6,98.9,26.3,5.3,$8.0M,
Toronto Raptors,15,199.2,97.9,26.3,4.1,$8.3M,
Utah Jazz,15,197.3,98.2,26,3.7,$7.9M,
Washington Wizards,15,199.3,97.3,25.1,3.5,$8.1M,
