abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals
DAL,1640,334,2438,6027,0.462,2787,1548,0.773,1196,67,16180,Dallas Mavericks,712,1592,269,2324,6110,0.454,2775,1385,0.757,1048,713,1393,7391,474,2298,0.345,793,3037,818,3812,0.52,1982,1276,7796,1,419,2779,0.369,1026,3150,857,3248,0.542,1761
MIL,1685,390,2745,5928,0.477,2830,1562,0.742,1159,65,15650,Milwaukee Bucks,617,1547,297,2358,6097,0.413,2518,1339,0.784,1050,613,1386,6978,481,2509,0.356,892,2971,929,3588,0.453,1626,1247,7712,2,480,2510,0.356,893,3362,969,3418,0.567,1937
HOU,1375,329,2212,5803,0.454,2632,1664,0.787,1310,64,15435,Houston Rockets,663,1619,315,2299,5853,0.461,2700,1493,0.761,1136,712,1329,7320,505,2250,0.348,784,3011,1012,3603,0.532,1916,1382,7560,3,541,2832,0.348,986,2875,939,2971,0.554,1646
POR,1333,411,2335,5998,0.461,2763,1434,0.798,1145,66,15890,Portland Trail Blazers,666,1633,331,2355,6081,0.451,2744,1606,0.773,1242,780,1302,7606,452,2326,0.377,876,3135,840,3755,0.497,1868,1412,7500,4,401,2228,0.372,829,3001,858,3770,0.513,1934
ATL,1605,341,2237,6067,0.449,2723,1566,0.79,1237,67,16280,Atlanta Hawks,661,1674,428,2402,6078,0.478,2903,1839,0.772,1419,748,1404,8022,600,2194,0.363,797,3150,1006,3884,0.542,2106,1548,7488,5,523,2416,0.333,805,2898,1086,3651,0.525,1918
NOP,1728,328,2290,5902,0.462,2729,1485,0.729,1082,64,15510,New Orleans Pelicans,719,1576,309,2245,5903,0.465,2747,1563,0.782,1223,641,1318,7489,549,2172,0.355,772,2886,927,3731,0.529,1975,1345,7436,6,486,2409,0.372,896,3009,1038,3493,0.525,1833
LAC,1526,318,2368,5739,0.464,2664,1679,0.792,1330,64,15435,Los Angeles Clippers,701,1508,314,2216,5776,0.436,2520,1589,0.762,1211,695,1460,7019,503,2255,0.341,768,2911,908,3521,0.498,1752,1411,7436,7,456,2123,0.366,778,3069,946,3616,0.522,1886
WAS,1621,273,2024,5821,0.461,2682,1584,0.787,1247,64,15435,Washington Wizards,644,1618,323,2282,5672,0.49,2778,1686,0.772,1302,680,1435,7658,481,2119,0.378,800,2962,1044,3553,0.557,1978,1445,7399,8,519,2117,0.372,788,2668,900,3704,0.511,1894
MEM,1757,363,2357,5913,0.47,2779,1384,0.761,1053,65,15625,Memphis Grizzlies,679,1615,347,2242,5897,0.45,2653,1595,0.786,1254,680,1283,7391,514,2287,0.363,831,2922,947,3610,0.505,1822,1354,7321,9,520,2019,0.352,710,3036,992,3894,0.531,2069
PHO,1766,261,2163,5709,0.464,2650,1560,0.826,1289,65,15675,Phoenix Suns,637,1545,367,2236,5668,0.475,2691,1605,0.781,1254,600,1485,7405,529,2090,0.368,769,2836,1037,3578,0.537,1922,1439,7316,10,507,2061,0.353,727,2800,980,3648,0.527,1923
MIA,1689,291,2343,5486,0.47,2576,1633,0.778,1270,65,15825,Miami Heat,552,1606,275,2146,5653,0.447,2526,1512,0.776,1174,595,1400,7080,490,2469,0.346,854,2741,888,3184,0.525,1672,1323,7290,11,480,2265,0.383,868,2895,968,3221,0.53,1708
MIN,1525,362,2193,5865,0.441,2586,1624,0.753,1223,64,15560,Minnesota Timberwolves,675,1560,355,2383,5786,0.477,2760,1613,0.783,1263,647,1383,7523,499,2040,0.363,740,3030,992,3746,0.539,2020,1370,7248,12,555,2540,0.336,853,2868,981,3325,0.521,1733
BOS,1459,358,2259,5735,0.459,2634,1461,0.801,1170,64,15485,Boston Celtics,683,1420,356,2179,5554,0.442,2453,1546,0.761,1177,655,1318,6837,446,2206,0.342,754,2834,981,3348,0.507,1699,1367,7232,13,529,2190,0.363,794,2942,873,3545,0.519,1840
TOR,1624,316,2275,5665,0.458,2596,1448,0.8,1159,64,15460,Toronto Raptors,618,1639,339,2247,5661,0.429,2428,1472,0.768,1131,714,1277,6818,451,2463,0.337,831,2961,1077,3198,0.499,1597,1376,7231,14,565,2369,0.371,880,2893,924,3296,0.521,1716
LAL,1630,430,2239,5579,0.485,2704,1496,0.73,1092,63,15170,Los Angeles Lakers,668,1464,235,2049,5527,0.444,2456,1439,0.774,1114,616,1350,6736,514,2076,0.342,710,2665,986,3451,0.506,1746,1299,7203,15,541,1981,0.355,703,2907,951,3598,0.556,2001
DEN,1724,302,2179,5778,0.471,2719,1330,0.775,1031,65,15750,Denver Nuggets,699,1626,292,2134,5606,0.459,2571,1437,0.756,1087,651,1299,6984,464,2183,0.346,755,2785,931,3423,0.531,1816,1303,7176,16,529,1977,0.358,707,2878,890,3801,0.529,2012
SAS,1546,345,2244,5638,0.47,2649,1434,0.809,1160,63,15295,San Antonio Spurs,555,1621,275,2287,5661,0.469,2657,1428,0.77,1099,590,1239,7240,424,2197,0.376,827,2877,817,3464,0.528,1830,1212,7129,17,454,1809,0.371,671,2799,773,3829,0.517,1978
PHI,1682,349,2282,5701,0.465,2651,1435,0.752,1079,65,15675,Philadelphia 76ers,673,1475,251,2166,5564,0.462,2571,1579,0.742,1172,556,1319,6979,452,1881,0.354,665,2722,913,3683,0.518,1906,1342,7123,18,531,2052,0.362,742,2955,923,3649,0.523,1909
IND,1686,334,2211,5744,0.477,2740,1244,0.787,979,65,15700,Indiana Pacers,573,1505,291,2249,5727,0.448,2565,1403,0.789,1107,657,1211,6981,445,2158,0.345,744,2906,935,3569,0.51,1821,1274,7107,19,470,1787,0.363,648,2784,853,3957,0.529,2092
UTA,1419,256,2320,5413,0.475,2569,1457,0.772,1125,64,15385,Utah Jazz,566,1354,292,2110,5712,0.452,2582,1339,0.769,1030,616,1318,6903,496,2020,0.351,709,2726,771,3692,0.507,1873,1281,7106,20,377,2200,0.383,843,2886,954,3213,0.537,1726
OKC,1400,321,2213,5447,0.473,2578,1589,0.797,1267,64,15460,Oklahoma City Thunder,517,1476,262,2175,5757,0.456,2628,1188,0.795,945,668,1462,6932,430,2122,0.344,731,2843,893,3635,0.522,1897,1205,7089,21,487,1878,0.355,666,2730,861,3569,0.536,1912
BRK,1539,292,2409,5763,0.444,2558,1545,0.744,1149,64,15560,Brooklyn Nets,694,1436,342,2254,5968,0.442,2638,1415,0.763,1079,688,1335,7130,497,2215,0.35,775,2942,808,3753,0.496,1863,1322,7089,22,413,2423,0.34,824,3103,993,3340,0.519,1734
DET,1589,299,2109,5658,0.459,2595,1476,0.743,1097,66,15965,Detroit Pistons,644,1625,369,2204,5764,0.48,2768,1379,0.777,1072,668,1308,7313,543,1952,0.361,705,2872,923,3812,0.541,2063,1299,7078,23,490,2157,0.367,791,2753,1008,3501,0.515,1804
NYK,1456,313,2274,5896,0.447,2638,1550,0.694,1076,66,15965,New York Knicks,795,1605,333,2284,5678,0.463,2631,1696,0.749,1270,632,1305,7409,474,2303,0.381,877,2916,907,3375,0.52,1754,1464,6983,24,504,1872,0.337,631,3069,946,4024,0.499,2007
SAC,1497,271,2104,5622,0.459,2583,1302,0.769,1001,64,15510,Sacramento Kings,616,1570,278,2207,5457,0.468,2552,1525,0.793,1209,576,1238,7098,501,2212,0.355,785,2783,965,3245,0.545,1767,1400,6975,25,488,2219,0.364,808,2720,922,3403,0.522,1775
CLE,1500,211,2172,5715,0.458,2619,1296,0.758,983,65,15725,Cleveland Cavaliers,704,1699,412,2154,5811,0.491,2851,1245,0.767,955,633,1277,7461,613,2143,0.375,804,2787,844,3668,0.558,2047,1188,6948,26,447,2070,0.351,727,2876,1073,3645,0.519,1892
CHI,1510,265,2041,5762,0.447,2573,1332,0.755,1006,65,15675,Chicago Bulls,680,1653,384,2299,5364,0.479,2568,1691,0.759,1283,660,1246,7145,530,2057,0.353,726,2959,1187,3307,0.557,1842,1417,6945,27,652,2282,0.348,793,2721,1005,3480,0.511,1780
ORL,1559,372,2220,5773,0.442,2550,1434,0.77,1104,65,15625,Orlando Magic,674,1591,312,2339,5628,0.463,2607,1243,0.772,959,591,1248,6977,453,2171,0.37,804,2930,964,3457,0.522,1803,1145,6914,28,543,2080,0.341,710,2894,820,3693,0.498,1840
GSW,1663,299,2138,5730,0.438,2510,1511,0.803,1214,65,15725,Golden State Warriors,647,1698,321,2359,5760,0.476,2743,1422,0.783,1113,661,1308,7478,536,2261,0.389,879,3020,1016,3499,0.533,1864,1304,6912,29,534,2032,0.334,678,2785,969,3698,0.495,1832
CHO,1549,268,2066,5586,0.434,2425,1406,0.748,1052,65,15750,Charlotte Hornets,715,1732,328,2276,5690,0.476,2708,1197,0.758,907,711,1337,7126,523,2279,0.352,803,2987,935,3411,0.558,1905,1223,6687,30,428,2231,0.352,785,2781,949,3355,0.489,1640
