,title,description,url,publishedAt,content,domain,topic,injuries,trades,retirements,draft,all-stars,playoffs,rookies,highlights,fantasy
0,Running Diary: Rockets 121 | Lakers 111,"Below is a running diary of the Lakers’ game against the Houston Rockets, taking you through game day from start to finish.",https://www.nba.com/lakers/news/200206-running-diary-lakers-rockets,2020-02-07T06:40:50Z,"Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
 No portion of NBA.com may be duplicated, redistributed or manipulated in any form.
 This site is operated jointly by NBA and WarnerMedia. To opt out of the sale of your personal information as … [+563 chars]",nba.com,highlights,,,,,,,,,
1,LeBron James with 15 Assists vs. Houston Rockets,LeBron James with 15 Assists vs. Houston Rockets,http://www.nba.com/video/2020/02/07/0021900768-lebron-james-15-assists-vs-houston-rockets,2020-02-07T06:20:51Z,,nba.com,highlights,,,,,,,,,
2,Anthony Davis (32 points) Highlights vs. Houston Rockets,Anthony Davis (32 points) Highlights vs. Houston Rockets,http://www.nba.com/video/2020/02/07/0021900768-anthony-davis-32-points-highlights-vs-houston-rockets,2020-02-07T06:20:49Z,,nba.com,highlights,,,,,,,,,
3,Barkley: Rockets will face challenges without center,"Charles Barkley explains why he thinks the Rockets will struggle ""over the long haul"" of the regular season.",http://www.nba.com/video/2020/02/07/20200206-inside-rockets-lakers-postgame-analysis,2020-02-07T06:18:40Z,,nba.com,,,,,,,,,,
4,60-Second Recap: Los Angeles Lakers vs. Houston Rockets,60-Second Recap: Los Angeles Lakers vs. Houston Rockets,http://www.nba.com/video/2020/02/07/0021900768-los-angeles-lakers-vs-houston-rockets-game-highlights,2020-02-07T06:05:54Z,,nba.com,highlights,,,,,,,,,
5,Trail Blazers Overcome Free Throws With Threes Versus Spurs,"PORTLAND -- Considering the difference in fouls calls and free throws between the Trail Blazers and Spurs Thursday night, there were likely more than a few fans in attendance wondering if the home team was getting a fair shake.In the end, the Trail Blazers we…",https://www.nba.com/blazers/news/trail-blazers-overcome-free-throws-threes-versus-spurs,2020-02-07T05:31:59Z,"PORTLAND -- Considering the difference in fouls calls and free throws between the Trail Blazers and Spurs Thursday night, there were likely more than a few fans in attendance wondering if the home team was getting a fair shake.
In the end, the Trail Blazers … [+2227 chars]",nba.com,highlights,,,,,,,,,
6,Russell Westbrook with 16 Points in the 3rd Quarter vs. Los Angeles Lakers,Russell Westbrook with 16 Points in the 3rd Quarter vs. Los Angeles Lakers,http://www.nba.com/video/2020/02/07/0021900768-russell-westbrook-16-points-3rd-quarter-vs-los-angeles-lakers,2020-02-07T05:27:11Z,,nba.com,highlights,,,,,,,,,
7,Nike Game Growers Highlights Local Sacramento Youth,"By: Molly Weber In honor of National Girls and Women in Sports Day on Wednesday, the Sacramento Kings are highlighting two local girls who are making a difference in the community by paving the way for more female participation in basketball.",https://www.nba.com/kings/nike-game-growers-highlights-local-sacramento-youth,2020-02-07T05:25:47Z,"By: Molly Weber
In honor of National Girls and Women in Sports Day on Wednesday, the Sacramento Kings are highlighting two local girls who are making a difference in the community by paving the way for more female participation in basketball.
This past wint… [+2299 chars]",nba.com,,,,,,,,,,
8,Portland Trail Blazers with 6 3-pointers in the 4th Quarter vs. San Antonio Spurs,Portland Trail Blazers with 6 3-pointers in the 4th Quarter vs. San Antonio Spurs,http://www.nba.com/video/2020/02/07/0021900767-portland-trail-blazers-6-3-pointers-4th-quarter-vs-san-antonio-spurs,2020-02-07T05:04:45Z,,nba.com,highlights,,,,,,,,,
9,LeBron James slams it reverse in the third quarter,LeBron James slams it reverse in the third quarter,http://www.nba.com/video/2020/02/07/0021900768-lebron-james-los-angeles-lakers-houston-rockets-dunk-3q,2020-02-07T05:02:41Z,,nba.com,highlights,,,,,,,,,
